Character,Line,Tokens
Marshall,thanks ted youre a good friend and if i die first you just leave my body alone,"['thanks', 'ted', 'good', 'friend', 'die', 'first', 'leave', 'body', 'alone']"
Ted,what i just said you could cut me open and crawl inside me,"['said', 'could', 'cut', 'open', 'crawl', 'inside']"
Marshall,yeah dont do any of that stuff to me it skeeves me out,"['stuff', 'skeeves']"
Ted,but but youre dead and im gonna die if i dont,"['dead', 'die']"
Marshall,wasnt an easy decision,"['easy', 'decision']"
Ted,this is all because of your insane nofood rule,"['insane', 'nofood', 'rule']"
Marshall,its perfectly rational,"['perfectly', 'rational']"
Ted,hey my spectacles hey i know were low on gas but can we turn on the heat for just a minute,"['hey', 'spectacles', 'hey', 'know', 'low', 'gas', 'turn', 'heat', 'minute']"
Marshall,okay dude i hate to say this but its so cold theres only one way that were gonna make it through this night we shouldve kept driving,"['dude', 'hate', 'say', 'cold', 'theres', 'one', 'way', 'make', 'night', 'kept', 'driving']"
Ted,come on marshall,"['come', 'marshall']"
Marshall,no no we might die now i may never see lily again i never told anybody this but ive known for a long time that im gonna marry that girl if we survive this someday im gonna marry her im sorry about your spectacles,"['might', 'die', 'may', 'never', 'see', 'lily', 'never', 'told', 'anybody', 'known', 'long', 'time', 'marry', 'girl', 'survive', 'someday', 'marry', 'sorry', 'spectacles']"
Ted,thats okay they were decorative hey marshall,"['decorative', 'hey', 'marshall']"
Marshall,yeah,[]
Ted,are you still thinking about lily,"['still', 'thinking', 'lily']"
Marshall,yeah,[]
Ted,please stop and so marshall and i thought we were gonna die out there in the middle of nowhere but funny thing,"['please', 'stop', 'marshall', 'thought', 'die', 'middle', 'nowhere', 'funny', 'thing']"
Marshall,zitch dog,"['zitch', 'dog']"
Lily,you said you were gonna marry me that long ago that is so sweet,"['said', 'marry', 'long', 'ago', 'sweet']"
Ted,that trip is when marshall and i became best friends,"['trip', 'marshall', 'became', 'best', 'friends']"
Barney,with privileges from the sound of it,"['privileges', 'sound']"
Barney,wow looks like he really needs a hug ted,"['wow', 'looks', 'really', 'needs', 'hug', 'ted']"
Marshall,he said it would be at least  bucks to make it run again and even then theres no guarantee,"['said', 'least', 'bucks', 'make', 'run', 'even', 'theres', 'guarantee']"
Ted,well its a pretty old car,"['pretty', 'old', 'car']"
Robin,yeah you can keep prolonging its life but its really mostly machine at this point,"['keep', 'prolonging', 'life', 'really', 'mostly', 'machine', 'point']"
Marshall,i know that its a lot of money but its my fiero you know im about to graduate and take some sellout corporate law job and without that fiero im just another guy in a suit,"['know', 'lot', 'money', 'fiero', 'know', 'graduate', 'take', 'sellout', 'corporate', 'law', 'job', 'without', 'fiero', 'another', 'guy', 'suit']"
Barney,how dare you,['dare']
Marshall,ive been through so much in that car the suicidal cat,"['much', 'car', 'suicidal', 'cat']"
Marshall,hitchhiking waldo the homeless guy who broke in through the window and threw up all over the backseat,"['hitchhiking', 'waldo', 'homeless', 'guy', 'broke', 'window', 'threw', 'backseat']"
Robin,lily dont be strong do not go all prisoners dilemma on me,"['lily', 'strong', 'prisoners', 'dilemma']"
Lily,the cars on its deathbed robin i have to clear my conscience,"['cars', 'deathbed', 'robin', 'clear', 'conscience']"
Marshall,guys what are you talking about,"['guys', 'talking']"
Lily,okay shortly after we met robin she and i were jonesing for thai food from this one place,"['shortly', 'met', 'robin', 'jonesing', 'thai', 'food', 'one', 'place']"
Robin,an hour and a half delivery we cant wait that long,"['hour', 'half', 'delivery', 'cant', 'wait', 'long']"
Lily,i wish we could take the fiero but marshall has this insane nofood rule,"['wish', 'could', 'take', 'fiero', 'marshall', 'insane', 'nofood', 'rule']"
Robin,but thai food lily pad yum mao tom kai gah thai see ran,"['thai', 'food', 'lily', 'pad', 'yum', 'mao', 'tom', 'kai', 'gah', 'thai', 'see', 'ran']"
Lily,oh youre just saying random syllables and it still sounds delicious okay heres what well do well drive over pick it up have them doublebag it very carefully drive it back here with the windows open and hell never know  wow these brakes are really sensitive oh marshall is gonna kill me this and the difference between affect and effect are the only two things hes really serious about,"['saying', 'random', 'syllables', 'still', 'sounds', 'delicious', 'heres', 'drive', 'pick', 'doublebag', 'carefully', 'drive', 'back', 'windows', 'open', 'hell', 'never', 'know', 'wow', 'brakes', 'really', 'sensitive', 'marshall', 'kill', 'difference', 'affect', 'effect', 'two', 'things', 'hes', 'really', 'serious']"
Robin,lily its gonna be fine,"['lily', 'fine']"
Lily,no its not marshalls gonna freak oh god oh god what are we gonna do oh god oh,"['marshalls', 'freak', 'god', 'god', 'god']"
Robin,shut up now listen to me the clock is ticking okay first thing we scoop up all these little pieces of tofu and cabbage next what we need to take care of are the really messy parts the pools that have collected we got to soak that soup up last is the smell we got to cover up that tom kah gai you mentioned cigars,"['shut', 'listen', 'clock', 'ticking', 'first', 'thing', 'scoop', 'little', 'pieces', 'tofu', 'cabbage', 'next', 'need', 'take', 'care', 'really', 'messy', 'parts', 'pools', 'collected', 'soak', 'soup', 'last', 'smell', 'cover', 'tom', 'kah', 'gai', 'mentioned', 'cigars']"
Lily,theres two in the glove compartment but hes been saving them,"['theres', 'two', 'glove', 'compartment', 'hes', 'saving']"
Robin,hand me those chopsticks hey how about some tunes oh great song,"['hand', 'chopsticks', 'hey', 'tunes', 'great', 'song']"
Lily,these cigars arent helping at all,"['cigars', 'helping']"
Robin,yeah this was a terrible idea,"['terrible', 'idea']"
Lily,now it just smells like a homeless guy threw up in here end of flasback,"['smells', 'homeless', 'guy', 'threw', 'end', 'flasback']"
Marshall,the broken windows,"['broken', 'windows']"
Lily,we had to make it look realistic,"['make', 'look', 'realistic']"
Marshall,why did you break two of them,"['break', 'two']"
Robin,it looked like fun when she did it so i wanted to try,"['looked', 'fun', 'wanted', 'try']"
Marshall,cant believe this whole time it was you guys ive been blaming really tanned dancing leotard guy,"['cant', 'believe', 'whole', 'time', 'guys', 'blaming', 'really', 'tanned', 'dancing', 'leotard', 'guy']"
Lily,marshall im so sorry but sharing that secret thats when robin and i became best friends,"['marshall', 'sorry', 'sharing', 'secret', 'robin', 'became', 'best', 'friends']"
Marshall,i dont know i dont know i dont know,"['know', 'know', 'know']"
Barney,come on marshall this is your fiero you know the rightthing to do here,"['come', 'marshall', 'fiero', 'know', 'rightthing']"
Robin,wow barney why do you love that car so much,"['wow', 'barney', 'love', 'car', 'much']"
Barney,love it hold on a second love it i hate it,"['love', 'hold', 'second', 'love', 'hate']"
Lily,what why,[]
Barney,why why why why,[]
Ted,let me tell it it was last year during the transit strike,"['let', 'tell', 'last', 'year', 'transit', 'strike']"
Ted,hey,['hey']
Barney,hey uh is marshall around i have a massage in queens in half an hour i need a ride,"['hey', 'uh', 'marshall', 'around', 'massage', 'queens', 'half', 'hour', 'need', 'ride']"
Ted,uh no hes at the library all day just take the keys,"['uh', 'hes', 'library', 'day', 'take', 'keys']"
Barney,hey why dont you drive me itll be like a total road trip,"['hey', 'drive', 'itll', 'total', 'road', 'trip']"
Ted,to queens,['queens']
Barney,yeah well get well get beef jerky triscuits,"['beef', 'jerky', 'triscuits']"
Barney,okay well anyway ill cancel see you later,"['anyway', 'ill', 'cancel', 'see', 'later']"
Ted,wait you know how to drive right,"['wait', 'know', 'drive', 'right']"
Barney,what of course i know how to drive i love driving hitting the road cruising the lanes and braking honking love it except for lady drivers dont get me started on lady drivers,"['course', 'know', 'drive', 'love', 'driving', 'hitting', 'road', 'cruising', 'lanes', 'braking', 'honking', 'love', 'except', 'lady', 'drivers', 'started', 'lady', 'drivers']"
Ted,which pedals the gas,"['pedals', 'gas']"
Barney,trick question,"['trick', 'question']"
Ted,no its not,[]
Barney,yes it is,[]
Ted,no its not,[]
Barney,middle left right i never learned how to drive i grew up in the city i never had a chance,"['middle', 'left', 'right', 'never', 'learned', 'drive', 'grew', 'city', 'never', 'chance']"
Ted,well guess what youre getting your chance because im going to teach you barney stinson buckle up,"['guess', 'getting', 'chance', 'going', 'teach', 'barney', 'stinson', 'buckle']"
Barney,this isnt right god never meant for us to travel at such breakneck speeds,"['right', 'god', 'never', 'meant', 'us', 'travel', 'breakneck', 'speeds']"
Ted,relax youre doing great ignore the old lady on the rascal this isnt a race,"['relax', 'great', 'ignore', 'old', 'lady', 'rascal', 'race']"
Barney,dude a dog,"['dude', 'dog']"
Ted,zitch dogs this or nothing,"['zitch', 'dogs', 'nothing']"
Barney,what do i do tell me what to do ted,"['tell', 'ted']"
Ted,step on the brakes sometime in the next  minutes,"['step', 'brakes', 'sometime', 'next', 'minutes']"
Barney,which which ones the break again,"['ones', 'break']"
Ted,the left one,"['left', 'one']"
Barney,left oh man left im totally blanking,"['left', 'man', 'left', 'totally', 'blanking']"
Ted,make the ls,"['make', 'ls']"
Barney, oh were not going to make it,"['going', 'make']"
Ted,why did you just turn on the radio,"['turn', 'radio']"
Barney,i dont know why i turned on the radio were going to die tell me what to do ted,"['know', 'turned', 'radio', 'going', 'die', 'tell', 'ted']"
Ted,relax youre being crazy,"['relax', 'crazy']"
Barney,help me ted im being serious,"['help', 'ted', 'serious']"
Ted,stop drop and roll screaming is fun screaming is fun,"['stop', 'drop', 'roll', 'screaming', 'fun', 'screaming', 'fun']"
Barney,i cant move i cant i cant feel my wait wait were okay,"['cant', 'move', 'cant', 'cant', 'feel', 'wait', 'wait']"
Ted,were okay,[]
Barney,were okay its a miracle ted,"['miracle', 'ted']"
Robin,wow sounds like you had some accident in that car,"['wow', 'sounds', 'accident', 'car']"
Ted,actually he had two accidents if you add the fact that he,"['actually', 'two', 'accidents', 'add', 'fact']"
Barney,umminahumminahumminahummina umminahumminahummina hummina i shouldnt even be here thanks to that deathtrap but fate fate gave me a second chance and helped me realize that our days on this planet are too few to squander so i decided from that moment on to continue living life to its fullest,"['umminahumminahumminahummina', 'umminahumminahummina', 'hummina', 'even', 'thanks', 'deathtrap', 'fate', 'fate', 'gave', 'second', 'chance', 'helped', 'realize', 'days', 'planet', 'squander', 'decided', 'moment', 'continue', 'living', 'life', 'fullest']"
Lily,so you made a lifechanging decision to not change your life at all,"['made', 'lifechanging', 'decision', 'change', 'life']"
Barney,true story,"['true', 'story']"
Marshall,guys this fieros meant a lot to all of us friendships were made adventures had horrors faced thats why we have to get rid of it,"['guys', 'fieros', 'meant', 'lot', 'us', 'friendships', 'made', 'adventures', 'horrors', 'faced', 'rid']"
Barney,yes,[]
Robin, robin what,['robin']
Ted,all its lived a great life and it deserves to die with dignityted but ,"['lived', 'great', 'life', 'deserves', 'die', 'dignityted']"
Marshall,but thats life you know you never end up where you thought you wanted to be im not helping the environment teds not a philosopher lilys not not a worldfamous artist barneys never driven more than ten miles an hour robin im sure has also experience disappointment in her life maybe and my fieros not a fiero that went  miles its okay you know those are old dreams well get a new car and well fill that one up with new memories and thatll be the car we had when we were first married when we owned our first house maybe even the first car our four kids remember,"['life', 'know', 'never', 'end', 'thought', 'wanted', 'helping', 'environment', 'teds', 'philosopher', 'lilys', 'worldfamous', 'artist', 'barneys', 'never', 'driven', 'ten', 'miles', 'hour', 'robin', 'sure', 'also', 'experience', 'disappointment', 'life', 'maybe', 'fieros', 'fiero', 'went', 'miles', 'know', 'old', 'dreams', 'new', 'car', 'fill', 'one', 'new', 'memories', 'car', 'first', 'married', 'owned', 'first', 'house', 'maybe', 'even', 'first', 'car', 'four', 'kids', 'remember']"
Lily,thats so sweet the first car our two kids remember,"['sweet', 'first', 'car', 'two', 'kids', 'remember']"
Marshall,i would like to say goodbye marshall is in the car and the other are around it marshall taps the dashboard and the cassette goes out,"['say', 'goodbye', 'marshall', 'car', 'around', 'marshall', 'taps', 'dashboard', 'cassette', 'goes']"
Ted,you know what this fiero its effected all our lives,"['know', 'fiero', 'effected', 'lives']"
Marshall,affected,['affected']
Ted,thats what i said,['said']
Marshall,just making sure got us all a lot of places i mean maybe its time we return the favor this fiero should have made it to  so lets get it out that door and well push it the last miles itd do the same for us marshall puts the cassette back in and they all start to push,"['making', 'sure', 'us', 'lot', 'places', 'mean', 'maybe', 'time', 'return', 'favor', 'fiero', 'made', 'lets', 'door', 'push', 'last', 'miles', 'itd', 'us', 'marshall', 'puts', 'cassette', 'back', 'start', 'push']"
Marshall,close enough,"['close', 'enough']"
Marshall,arrivederci fiero you were the freaking giving tree of carslily may you rust in peace,"['arrivederci', 'fiero', 'freaking', 'giving', 'tree', 'carslily', 'may', 'rust', 'peace']"
Barney,rot in hell devil steed,"['rot', 'hell', 'devil', 'steed']"
Marshall,bro have you heard this new song i just got the cassingle,"['bro', 'heard', 'new', 'song', 'cassingle']"
Marshall,i am never going to get sick of this song never ever never never ever yeah,"['never', 'going', 'sick', 'song', 'never', 'ever', 'never', 'never', 'ever']"
Lily,why does my stomach hurt,"['stomach', 'hurt']"
Marshall,im sorry baby i ate a bunch of ice cream earlier today,"['sorry', 'baby', 'ate', 'bunch', 'ice', 'cream', 'earlier', 'today']"
Lily,oh baby you know were lactoseintolerant,"['baby', 'know', 'lactoseintolerant']"
Lily,no were not,[]
Ted,oh really what about the other day,"['really', 'day']"
Lily,oh i need to get some eggs,"['need', 'eggs']"
Marshall,oh ill come with you,"['ill', 'come']"
Marshall,just because we like spending time together doesnt mean were codependent,"['spending', 'time', 'together', 'mean', 'codependent']"
Barney,really then whatever happened to your plan of spending the last two weeks before your wedding sleeping apart,"['really', 'whatever', 'happened', 'plan', 'spending', 'last', 'two', 'weeks', 'wedding', 'sleeping', 'apart']"
Marshall,okay we decided not to do that because of,['decided']
Lily,logistics wedding logistics,"['logistics', 'wedding', 'logistics']"
Marshall,frickin logistics man they mess everything up,"['frickin', 'logistics', 'man', 'mess', 'everything']"
Ted,you didnt do it because you couldnt do it,[]
Marshall,sure we could,"['sure', 'could']"
Robin,then why dont you you can stay with me,['stay']
Lily,it would make our wedding night more special,"['make', 'wedding', 'night', 'special']"
Marshall,okay lets do it,['lets']
Lily,done,['done']
Marshall,im gonna go grab a beer,"['grab', 'beer']"
Lily,ill come with you no ill stay,"['ill', 'come', 'ill', 'stay']"
Lily,okay i know you know i got to go goodbye my moms driving me cra,"['know', 'know', 'goodbye', 'moms', 'driving', 'cra']"
Ted,long story ill tell you later,"['long', 'story', 'ill', 'tell', 'later']"
Barney,yeah its a dirty story isnt it you guys went out to dinner did it in the kitchen and got caught scherbatsky reeks of someone who likes to get caught,"['dirty', 'story', 'guys', 'went', 'dinner', 'kitchen', 'caught', 'scherbatsky', 'reeks', 'someone', 'likes', 'caught']"
Robin,okay now i have to wash up for two reasons,"['wash', 'two', 'reasons']"
Marshall,oh you didnt thats right,['right']
Barney,so you and lily really think you can spend two weeks apart,"['lily', 'really', 'think', 'spend', 'two', 'weeks', 'apart']"
Marshall,you know what barney lily and i are a lot less chees than you make us out to be,"['know', 'barney', 'lily', 'lot', 'less', 'chees', 'make', 'us']"
Lily,marshmallow dont forget to pack my nightnight tape,"['marshmallow', 'forget', 'pack', 'nightnight', 'tape']"
Barney,nightnight tape did you make a tape of you saying nightnight to her,"['nightnight', 'tape', 'make', 'tape', 'saying', 'nightnight']"
Marshall,no,[]
Lily,he doesnt say it he sings it,"['say', 'sings']"
Barney,oh that is so sweet why dont you kiss i love it when two chicks make out,"['sweet', 'kiss', 'love', 'two', 'chicks', 'make']"
Lily,damn it nobodys bought us anything cool yet off our registry,"['damn', 'nobodys', 'bought', 'us', 'anything', 'cool', 'yet', 'registry']"
Barney,whats on there,['whats']
Lily,ooh lots of stuff kitchen aide artisan series tilthead stand mixer,"['ooh', 'lots', 'stuff', 'kitchen', 'aide', 'artisan', 'series', 'tilthead', 'stand', 'mixer']"
Barney,retail price  what else,"['retail', 'price', 'else']"
Lily,um the dyson dc animal vacuum,"['um', 'dyson', 'dc', 'animal', 'vacuum']"
Barney,ah  a little greedy dont you think,"['ah', 'little', 'greedy', 'think']"
Marshall,did you memorize our registry,"['memorize', 'registry']"
Barney,no im training,['training']
Marshall,training for what,['training']
Barney,im glad you asked ted robin get in here you guys know how its hard to be friends with me cause im so awesome,"['glad', 'asked', 'ted', 'robin', 'guys', 'know', 'hard', 'friends', 'cause', 'awesome']"
Ted,yes its hard to be friends with you go on,"['hard', 'friends']"
Barney,well this isnt going to make it any easier i am going to be on the price is right,"['going', 'make', 'easier', 'going', 'price', 'right']"
Marshall,no way,['way']
Ted,what,[]
Barney,yes in a couple days rich fields is going to call out my name and i will come on down,"['couple', 'days', 'rich', 'fields', 'going', 'call', 'name', 'come']"
Marshall,whoa that is so awesome,"['whoa', 'awesome']"
Robin,barney i didnt know you were such a fan of the price is right,"['barney', 'know', 'fan', 'price', 'right']"
Barney,are you kidding tpir is not just an indescribably entertaining hour of television its a microcosm of our entire economic system a capitalist utopia where consumers are rewarded for their persistence market acumen and intrepid spirit i gaze upon the glory of the price is right and i see the face of america and it is divine plus you know hot chicks on sports cars,"['kidding', 'tpir', 'indescribably', 'entertaining', 'hour', 'television', 'microcosm', 'entire', 'economic', 'system', 'capitalist', 'utopia', 'consumers', 'rewarded', 'persistence', 'market', 'acumen', 'intrepid', 'spirit', 'gaze', 'upon', 'glory', 'price', 'right', 'see', 'face', 'america', 'divine', 'plus', 'know', 'hot', 'chicks', 'sports', 'cars']"
Lily,im ready lily comes into the livingroom with her wedding dress while robin singins,"['ready', 'lily', 'comes', 'livingroom', 'wedding', 'dress', 'robin', 'singins']"
Robin,tadadadada wow lily you look so beautiful,"['tadadadada', 'wow', 'lily', 'look', 'beautiful']"
Lily,i know im beautiful im a fairy princess  im too skinny for my dress,"['know', 'beautiful', 'fairy', 'princess', 'skinny', 'dress']"
Ted,here goes hello everyone im ted mosby marshalls best man strong opening right,"['goes', 'hello', 'everyone', 'ted', 'mosby', 'marshalls', 'best', 'man', 'strong', 'opening', 'right']"
Marshall,thats fantastic,['fantastic']
Ted,when marshall graduates this spring hell be a lawyer but did you know that marshall has a criminal record thats right on a road trip up to cape cod marshall was pulled over for driving by himself in a car pool lane,"['marshall', 'graduates', 'spring', 'hell', 'lawyer', 'know', 'marshall', 'criminal', 'record', 'right', 'road', 'trip', 'cape', 'cod', 'marshall', 'pulled', 'driving', 'car', 'pool', 'lane']"
Marshall,oh crap,['crap']
Lily,oh crap,['crap']
Marshall,are you crazy you cannot tell that story at my wedding my entire familys gonna be there my little cousins my mom my grandma my grandpa the minister,"['crazy', 'tell', 'story', 'wedding', 'entire', 'familys', 'little', 'cousins', 'mom', 'grandma', 'grandpa', 'minister']"
Ted,that grandpa died three years ago,"['grandpa', 'died', 'three', 'years', 'ago']"
Marshall,his favorite grandson is getting married ted i think he can take a day off from haunting the barn to make an appearance,"['favorite', 'grandson', 'getting', 'married', 'ted', 'think', 'take', 'day', 'haunting', 'barn', 'make', 'appearance']"
Barney,so which one a or b,"['one', 'b']"
Marshall,what was that,[]
Barney,i have to decide how to run to contestants row when they say barney stinson come on down,"['decide', 'run', 'contestants', 'row', 'say', 'barney', 'stinson', 'come']"
Ted,oh i didnt realize thats what it was can you do them again,['realize']
Barney,yeah of course,['course']
Barney,hey very funny just for that when i win all the prizes the only thing you guys are getting is ricearoni and turtle wax,"['hey', 'funny', 'win', 'prizes', 'thing', 'guys', 'getting', 'ricearoni', 'turtle', 'wax']"
Lily,its  just to take the bust in oh please you have to have some sympathy for me im getting married next saturday and im too skinny for my dress i lost all this weight without even trying hello,"['take', 'bust', 'please', 'sympathy', 'getting', 'married', 'next', 'saturday', 'skinny', 'dress', 'lost', 'weight', 'without', 'even', 'trying', 'hello']"
Robin,what happened,['happened']
Lily,she called me a bitch and hung up oh i dont know what to do i guess ill just have to pay the ,"['called', 'bitch', 'hung', 'know', 'guess', 'ill', 'pay']"
Robin,pay the  lily are you crazy this isnt a problem its a license to eat look what have you always wanted to eat but didnt because it was too ridicuusly decadent,"['pay', 'lily', 'crazy', 'problem', 'license', 'eat', 'look', 'always', 'wanted', 'eat', 'ridicuusly', 'decadent']"
Lily,ooh a valrhona chocolate souffle with a raspberry brandy sauce topped with caramelized bananas and hazelnut gelato,"['ooh', 'valrhona', 'chocolate', 'souffle', 'raspberry', 'brandy', 'sauce', 'topped', 'caramelized', 'bananas', 'hazelnut', 'gelato']"
Robin,i have cool whip and half a bag of fritos,"['cool', 'whip', 'half', 'bag', 'fritos']"
Lily,done,['done']
Ted,okay think youre gonna be happy with my new toast theres nothing sexual its uh its just the story of an important moment in your relationship,"['think', 'happy', 'new', 'toast', 'theres', 'nothing', 'sexual', 'uh', 'story', 'important', 'moment', 'relationship']"
Marshall,im all ears hello everyone,"['ears', 'hello', 'everyone']"
Ted,im ted mosby marshalls best man,"['ted', 'mosby', 'marshalls', 'best', 'man']"
Marshall,nice,['nice']
Ted,right thats great back when we were all freshman and marshall and lily were just a few short weeks into their relationship it was  in the morning and im not gonna lie we were a wee bit wasted we were starving so id gone out to get us some snacks and when i got back,"['right', 'great', 'back', 'freshman', 'marshall', 'lily', 'short', 'weeks', 'relationship', 'morning', 'lie', 'wee', 'bit', 'wasted', 'starving', 'id', 'gone', 'us', 'snacks', 'back']"
Marshall,i love you,['love']
Lily,i love you too i know its soon to say it but im so glad you did,"['love', 'know', 'soon', 'say', 'glad']"
Marshall,yeah ted leaves the room,"['ted', 'leaves', 'room']"
Marshall,so heres what you want to talk about in front of my entire family drinking having a girl in my room eating junk food,"['heres', 'want', 'talk', 'front', 'entire', 'family', 'drinking', 'girl', 'room', 'eating', 'junk', 'food']"
Ted,dude youre almost  your mom would be mad at you for eating junk food,"['dude', 'almost', 'mom', 'mad', 'eating', 'junk', 'food']"
Marshall,yeah ted cause nutritions not important also so lilys never heard that story before hows she going to react when she finds out the first time i said i love you to her i was actually saying it to you and a bag of funyuns,"['ted', 'cause', 'nutritions', 'important', 'also', 'lilys', 'never', 'heard', 'story', 'hows', 'going', 'react', 'finds', 'first', 'time', 'said', 'love', 'actually', 'saying', 'bag', 'funyuns']"
Ted,but who cares you did love her and you still do and youre totally over funyuns so its not weird,"['cares', 'love', 'still', 'totally', 'funyuns', 'weird']"
Marshall,hey lil,"['hey', 'lil']"
Lily,hey,['hey']
Ted,hey thats it,['hey']
Marshall,what are you talking about,['talking']
Ted,well you guys have been spending the last few nights apart i figured thered be a lot of giggling crying jumping up and down and then whatever lily would do,"['guys', 'spending', 'last', 'nights', 'apart', 'figured', 'thered', 'lot', 'giggling', 'crying', 'jumping', 'whatever', 'lily']"
Barney,check it out okay imagine imagine if you will that this is the  space on the price is right wheel ready ,"['check', 'imagine', 'imagine', 'space', 'price', 'right', 'wheel', 'ready']"
Marshall,oh wow that was pretty close,"['wow', 'pretty', 'close']"
Barney,close close its called the price is right not the price is close oh man this is bad if i dont win the spinoff and i cant get into the showcase showdown everythings ruined its all ruined,"['close', 'close', 'called', 'price', 'right', 'price', 'close', 'man', 'bad', 'win', 'spinoff', 'cant', 'showcase', 'showdown', 'everythings', 'ruined', 'ruined']"
Ted,what is ruined why why is this such a big deal,"['ruined', 'big', 'deal']"
Barney,okay guys sit down ive got to tell you something the reason im going on the price is right is because ive decided that its time for me to meet my real father,"['guys', 'sit', 'tell', 'something', 'reason', 'going', 'price', 'right', 'decided', 'time', 'meet', 'real', 'father']"
Ted,your father,['father']
Barney,thats right my father is bob barker,"['right', 'father', 'bob', 'barker']"
Ted,your dad is bob barker,"['dad', 'bob', 'barker']"
Barney,thats right,['right']
Lily,the host of the price is right bob barker,"['host', 'price', 'right', 'bob', 'barker']"
Barney,thats pops,['pops']
Robin,barney,['barney']
Robin,why in the world do you think bob barker is your father,"['world', 'think', 'bob', 'barker', 'father']"
Barney,uh because my mother told me he was thats why,"['uh', 'mother', 'told']"
Barney,mom whos my dad all the other kids at school know who their dad is whos mine,"['mom', 'whos', 'dad', 'kids', 'school', 'know', 'dad', 'whos', 'mine']"
Barney,so now im gonna go to la be on the show win the showcase showdown make him proud of me and then tell him who i am,"['la', 'show', 'win', 'showcase', 'showdown', 'make', 'proud', 'tell']"
Ted,youre gonna tell bob barker that youre his son on national television,"['tell', 'bob', 'barker', 'son', 'national', 'television']"
Barney,why is this so hard for you people to believe,"['hard', 'people', 'believe']"
Robin,drop the popper lily has to gain five pounds in a week and a half and it is my job to help her get there,"['drop', 'popper', 'lily', 'gain', 'five', 'pounds', 'week', 'half', 'job', 'help']"
Lily,this is the best wedding diet ever,"['best', 'wedding', 'diet', 'ever']"
Lily,i lost a pound,"['lost', 'pound']"
Robin,that is impossible you ate mcdonalds every meal for three days,"['impossible', 'ate', 'mcdonalds', 'every', 'meal', 'three', 'days']"
Lily,i knew that super size me guy was full of it,"['knew', 'super', 'size', 'guy', 'full']"
Robin,well it must be the wedding stress we just got to up the intake lily aldrin drop and give me  bites of fudge okay dont nibble at it attack it come on lily you can do better than that,"['must', 'wedding', 'stress', 'intake', 'lily', 'aldrin', 'drop', 'give', 'bites', 'fudge', 'nibble', 'attack', 'come', 'lily', 'better']"
Lily,i cant,['cant']
Robin,well eat faster before your body figures out its full,"['eat', 'faster', 'body', 'figures', 'full']"
Lily,im trying,['trying']
Robin,oh are you gonna cry you gonna cry skinny little babys gonna cry well eat damn it eat,"['cry', 'cry', 'skinny', 'little', 'babys', 'cry', 'eat', 'damn', 'eat']"
Lily,okay,[]
Ted,hey so i think i figured out how to do your toast in a completely appropriate way,"['hey', 'think', 'figured', 'toast', 'completely', 'appropriate', 'way']"
Marshall,finally,['finally']
Ted,yeah good evening im ted mosby marshalls best man,"['good', 'evening', 'ted', 'mosby', 'marshalls', 'best', 'man']"
Marshall,still strong right,"['still', 'strong', 'right']"
Ted,great yeah id like to share with you all a story about the momentous evening last fall,"['great', 'id', 'share', 'story', 'momentous', 'evening', 'last', 'fall']"
Ted,when marshall and lily got back together afterward we stayed up till  at night doing shots of chocolate milk,"['marshall', 'lily', 'back', 'together', 'afterward', 'stayed', 'till', 'night', 'shots', 'chocolate', 'milk']"
Barney,calcium promotes healthy teeth and bones,"['calcium', 'promotes', 'healthy', 'teeth', 'bones']"
Robin,thanks marshall for teaching us you dont need alcohol to have fun,"['thanks', 'marshall', 'teaching', 'us', 'need', 'alcohol', 'fun']"
Marshall,oh dont thank me thank my parents for teaching me good values,"['thank', 'thank', 'parents', 'teaching', 'good', 'values']"
Ted,now i wasnt supposed to hear this next part but marshall leaned over to lily and whispered,"['supposed', 'hear', 'next', 'part', 'marshall', 'leaned', 'lily', 'whispered']"
Marshall,you know what id like to do to you right now id like to hold your hand id like to hold your hand so hard that youre not able to shake hands for a week,"['know', 'id', 'right', 'id', 'hold', 'hand', 'id', 'hold', 'hand', 'hard', 'able', 'shake', 'hands', 'week']"
Lily,are you just going to talk about holding my hand or are you going to hold it,"['going', 'talk', 'holding', 'hand', 'going', 'hold']"
Ted,then a little later robin caught them oh umholding hands end flashback it was a lovely and responsible night to marshall and lily,"['little', 'later', 'robin', 'caught', 'umholding', 'hands', 'end', 'flashback', 'lovely', 'responsible', 'night', 'marshall', 'lily']"
Marshall,thats the worst toast ive ever heard dude its totally boring,"['worst', 'toast', 'ever', 'heard', 'dude', 'totally', 'boring']"
Ted,exactly its impossible to write a good toast with you censoring me man i give up im just going to read that thing about jesus and the footprints,"['exactly', 'impossible', 'write', 'good', 'toast', 'censoring', 'man', 'give', 'going', 'read', 'thing', 'jesus', 'footprints']"
Lily,i give up too i dont care if my dress doesnt fit i cant eat anymore ii feel like my stomachs going to explode,"['give', 'care', 'dress', 'fit', 'cant', 'eat', 'anymore', 'ii', 'feel', 'stomachs', 'going', 'explode']"
Marshall,i know,['know']
